Category,Name,Method,URI,Input,Response,Normal Response Code,Error Response Code,Description,Remark,,POST
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?/tags
,,,,,,,,,,,List tags
,,,,,,,,,,,
,,,,,,,,,,,Lists the tag definitions within a namespace.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,DELETE
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?/tags
,,,,,,,,,,,Delete all tag definitions
,,,,,,,,,,,
,,,,,,,,,,,Deletes all tag definitions within a namespace.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,POST
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?/tags/?{name}?
,,,,,,,,,,,Add tag definition
,,,,,,,,,,,
,,,,,,,,,,,Adds a specified tag to the list of namespace tag definitions.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?/tags/?{name}?
,,,,,,,,,,,Get tag definition
,,,,,,,,,,,
,,,,,,,,,,,Gets a definition for the specified tag.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,PUT
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?/tags/?{name}?
,,,,,,,,,,,Update tag definition
,,,,,,,,,,,
,,,,,,,,,,,Renames a specified tag definition.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,DELETE
,,,,,,,,,,,/v2/metadefs/namespaces/?{namespace}?/tags/?{name}?
,,,,,,,,,,,Delete tag definition
,,,,,,,,,,,
,,,,,,,,,,,Deletes a specified tag definition within a namespace.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/schemas/metadefs/namespace
,,,,,,,,,,,Get metadata definition namespace schema
,,,,,,,,,,,
,,,,,,,,,,,Gets a JSON schema document that represents a metadata definition namespace entity. (Since API v2.1.)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/schemas/metadefs/namespaces
,,,,,,,,,,,Get metadata definition namespaces schema
,,,,,,,,,,,
,,,,,,,,,,,Gets a JSON schema document that represents a metadata definition namespaces entity. (Since API v2.1.)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/schemas/metadefs/object
,,,,,,,,,,,Get metadata definition object schema
,,,,,,,,,,,
,,,,,,,,,,,Gets a JSON schema document that represents a metadata definition object entity. (Since API v2.1.)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/schemas/metadefs/objects
,,,,,,,,,,,Get metadata definition objects schema
,,,,,,,,,,,
,,,,,,,,,,,Gets a JSON schema document that represents a metadata definition objects entity. (Since API v2.1.)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/schemas/metadefs/property
,,,,,,,,,,,Get metadata definition property schema
,,,,,,,,,,,
,,,,,,,,,,,Gets a JSON schema document that represents a metadata definition property entity. (Since API v2.1.)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/schemas/metadefs/properties
,,,,,,,,,,,Get metadata definition properties schema
,,,,,,,,,,,
,,,,,,,,,,,Gets a JSON schema document that represents a metadata definition properties entity. (Since API v2.1.)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/schemas/metadefs/tag
,,,,,,,,,,,Get metadata definition tag schema
,,,,,,,,,,,
,,,,,,,,,,,Gets a JSON schema document that represents a metadata definition tag entity. (Since API v2.1.)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/schemas/metadefs/tags
,,,,,,,,,,,Get metadata definition tags schema
,,,,,,,,,,,
,,,,,,,,,,,Gets a JSON schema document that represents a metadata definition tags entity. (Since API v2.1.)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/schemas/metadefs/resource_type
,,,,,,,,,,,Get metadata definition namespace resource type association schema
,,,,,,,,,,,
,,,,,,,,,,,Gets a JSON schema document that represents a metadata definition namespace resource type association entity. (Since API v2.1.)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/schemas/metadefs/resource_types
,,,,,,,,,,,Get metadata definition namespace resource type associations schema
,,,,,,,,,,,
,,,,,,,,,,,Gets a JSON schema document that represents a metadata definition namespace resource type associations entity. (Since API v2.1.)
