Category,Name,Method,URI,Input,Response,Normal Response Code,Error Response Code,Description,Remark,,GET
,,,,,,,,,,,List images
,,,,,,,,,,,
,,,,,,,,,,,"Lists IDs, names, and links for available images."
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/?{tenant_id}?/images/detail
,,,,,,,,,,,List images details
,,,,,,,,,,,
,,,,,,,,,,,Lists all details for available images.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/?{tenant_id}?/images/?{image_id}?
,,,,,,,,,,,Get image details
,,,,,,,,,,,
,,,,,,,,,,,Gets details for a specified image.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,DELETE
,,,,,,,,,,,/v2/?{tenant_id}?/images/?{image_id}?
,,,,,,,,,,,Delete image
,,,,,,,,,,,
,,,,,,,,,,,Deletes a specified image.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/?{tenant_id}?/images/?{image_id}?/metadata
,,,,,,,,,,,Show image metadata
,,,,,,,,,,,
,,,,,,,,,,,Shows metadata for a specified image.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,PUT
,,,,,,,,,,,/v2/?{tenant_id}?/images/?{image_id}?/metadata
,,,,,,,,,,,Create or replace image metadata
,,,,,,,,,,,
,,,,,,,,,,,Creates or replaces metadata for a specified image.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,POST
,,,,,,,,,,,/v2/?{tenant_id}?/images/?{image_id}?/metadata
,,,,,,,,,,,Update image metadata items
,,,,,,,,,,,
,,,,,,,,,,,Updates metadata items by key for a specified image.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/?{tenant_id}?/images/?{image_id}?/metadata/?{key}?
,,,,,,,,,,,Show image metadata item details
,,,,,,,,,,,
,,,,,,,,,,,Shows details for a metadata item by key for a specified image.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,PUT
,,,,,,,,,,,/v2/?{tenant_id}?/images/?{image_id}?/metadata/?{key}?
,,,,,,,,,,,Create or update image metadata item
,,,,,,,,,,,
,,,,,,,,,,,Creates or updates a metadata item by key for a specified image.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,DELETE
,,,,,,,,,,,/v2/?{tenant_id}?/images/?{image_id}?/metadata/?{key}?
,,,,,,,,,,,Delete image metadata item
,,,,,,,,,,,
,,,,,,,,,,,Deletes a metadata item by key for a specified image.
